id,caption,image_url,width,height
68d80537dc85ec23789b2bc05efe809f,A UFO hovering over a cornfield at sunset,https://v3.fal.media/files/koala/TlG4NY8cR6JgVIoYSi2YJ.png,1024,768
124059189e28002b0da3a20fbcc38670,A bustling Moroccan bazaar with colorful fabrics,https://v3.fal.media/files/lion/3ZUfkfbkQDv04dT86yS3J.png,1024,768
a308744f57ffd6cbc8ca6312c9b2171f,A peaceful beach with a glowing bioluminescent shoreline,https://v3.fal.media/files/penguin/8hpRgwoIhvesfRV0Kf3JW.png,1024,768
035536e952c398eca60e775b6e50a1b3,A magical library with floating books,https://v3.fal.media/files/monkey/2cF8U4csk05E4N_2oKGP1.png,1024,768
5bfb3fb69a37a4a416a361d9de424802,A dystopian city ruled by machines,https://v3.fal.media/files/rabbit/yYHc9jiYgVCq8uWDUeB_G.png,1024,768
e4b36118163c59686ca8410bd53c6bdc,A painter's studio filled with canvases and sunlight,https://v3.fal.media/files/elephant/_Qj9ozP_1bgqrF2wLiSsF.png,1024,768
d33f9f984d3e0a92d2211c0a9e19fc88,A haunted Victorian mansion at night,https://v3.fal.media/files/elephant/axGb5yNLlLUQc0jk8EG-N.png,1024,768
2949600da36301baaeccf3aac7c7544b,A Viking ship sailing through icy waters,https://v3.fal.media/files/zebra/rl864IvD5osNIBcvXcHQ7.png,1024,768
b4eaf035b2564c476264f7fafdd2ad29,A surreal landscape with floating islands,https://v3.fal.media/files/lion/h0t-CNsvViymbwqYWHOSE.png,1024,768
8327976fc8dc5efbb2d1bbeb5b908288,A chef plating food in a high-end kitchen,https://v3.fal.media/files/elephant/1w7UM8rSc_jy6lv9mZy6v.png,1024,768
