id,caption,image_url,width,height
1f631696ebfac5d00e33859b90d19b4e,A cinematic space station orbiting Earth,https://v3.fal.media/files/lion/QDFY6AWFPmeqmpsembllW.png,1024,768
c2af2568ea3933f9bdd69a287b3f00ca,A circus elephant balancing on a ball,https://v3.fal.media/files/zebra/lw-81eUiv9_mQw9RunxAV.png,1024,768
5eac84f278281a47d4030b38d376db37,A blacksmith working at a glowing forge,https://v3.fal.media/files/rabbit/5wbV51TaR7dVZhO3f0N-Q.png,1024,768
d7fa9664890231e3236270aeb79f2922,A superhero team preparing for battle,https://v3.fal.media/files/lion/w2upOjEne-pZJ-cvpz17z.png,1024,768
02cbdc6300e8520ef07247216564c572,A coral reef teeming with marine life,https://v3.fal.media/files/koala/ATTbejX6AzGK4V5ndRphQ.png,1024,768
e8d1f8cb8a43434902ec2fada53fc9b0,A mountaintop temple above the clouds,https://v3.fal.media/files/elephant/dxkLtKeoOiofGtkHw4cr1.png,1024,768
f46f34a19e9872cf0dadb756da63e45b,A botanical greenhouse with exotic plants,https://v3.fal.media/files/panda/rN-UfrWii-5FUrcaWZbzO.png,1024,768
1d78a3a7f6a0cd19f0c1134853bde657,A 1920s speakeasy bar scene,https://v3.fal.media/files/monkey/5madA_7Q8FNquNkUx0tl8.png,1024,768
23cb495e11b9deef9267c138accc9b19,A close-up of a tiger’s face in the jungle,https://v3.fal.media/files/tiger/WXdC6M7ixQCeFwukGrbbr.png,1024,768
10c38069f330c504d6b66caad43b4fa4,A child’s bedroom full of toys and magic,https://v3.fal.media/files/panda/8s_mbup-cfxbf4IknkXBL.png,1024,768
