id,caption,image_url,width,height
ce0c2c7169199b28f64ddec77508637c,A street fashion photoshoot in New York City,https://v3.fal.media/files/zebra/kxJg4JDgQZ88EOoBK9c1z.png,1024,768
e15910207bd4af782e5775852c1f5c8f,An enchanted waterfall hidden in a jungle,https://v3.fal.media/files/koala/uVFUHiUxmGNKZgdmNZcWd.png,1024,768
c52c8eab030fafdde026727cffb128a7,A medieval knight facing a dragon in a cave,https://v3.fal.media/files/panda/SZMadtbeUFeiP6LdGgYnF.png,1024,768
8f3f4c6b75a95a97aea57c475a9aeb22,A snowy mountain peak above the clouds,https://v3.fal.media/files/tiger/GpGtD2RsFt3p4BWjG8prx.png,1024,768
e8d058b075f2b611e889793889d9889e,A dreamlike sky filled with giant jellyfish,https://v3.fal.media/files/elephant/W2twd1DnQVaXu1CC6QT54.png,1024,768
6fec11b08781e4c41d9bac1305eec7c8,A realistic 3D render of a sci-fi robot,https://v3.fal.media/files/elephant/geROdvcPNL14ItyOqPaSe.png,1024,768
a854d2a0b9973f01b71817990a9d8f63,A retro diner in the 1950s with neon signs,https://v3.fal.media/files/zebra/ferGQal7t9_kxqQrQXe5X.png,1024,768
e190fbdbf5f573856ad26f5b6fa4af95,A desert oasis at sunrise with camels,https://v3.fal.media/files/koala/9rc7G7c3htyMWW21cWDHZ.png,1024,768
3fd616445084933003b744adbf724727,A close-up of a bee pollinating a flower,https://v3.fal.media/files/elephant/qwx5Gl_zCWFug9G3pPWT3.png,1024,768
cc3e26ba5109d35fd5098e7c1362ba28,A carnival at night with colorful lights and rides,https://v3.fal.media/files/elephant/ybtclze53qCS359CJWEZc.png,1024,768
